airport,name,freq,category,subcategory,mode,region,tags,memo,lat,lon
RJTT,ILS-GP 16R,332.75MHz,AIR,,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-DME 16R,1139MHz,AIR,,ITA,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-LOC 34L,111.7MHz,AIR,,IHA,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-GP 34L,333.5MHz,AIR,,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-DME 34L,1015MHz,AIR,,IHA,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-LOC 34R,108.9MHz,AIR,,ITC,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-GP 34R,329.3MHz,AIR,,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-DME 34R,987MHz,AIR,,ITC,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,IM 34R,75MHz,AIR,,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-LOC 22,108.1MHz,AIR,,IAD,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-GM22,334.7MHz,AIR,,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-DME22,979MHz,AIR,,IAD,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,LDA-LOC22,110.1MHz,AIR,,IKL,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,LDA-DME 22,999MHz,AIR,,IKL,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-LOC 23,110.5MHz,AIR,,ITD,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-GM23,329.6MHz,AIR,,,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,ILS-DME23,1003MHz,AIR,,ITD,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,LDA-LOC23,108.5MHz,AIR,,ITL,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
RJTT,LDA-DME 23,983MHz,AIR,,ITL,羽田,"羽田,東京,HND,RJTT",,35.5533,139.7811
